subject_name
אמנות ויצירה
חינוך גופני
חשבון
מוסיקה
משחקים
עברית
רוח
אנגלית
גיאוגרפיה
דרמה
טכנולוגיה
מדעים
מחול
ספרדית
ערבית
תנ״ך
מדעי המחשב
דמוקרטיה ואקטואליה
סביבה
חברה
היסטוריה
חינוך תעבורתי
לשון
ספרות
אחר
